"# TABLE 1: Multi-thread scaling (N=19009000). Run 1 = cold, discarded."
# Baseline for S_emp = T_1 (1-thread OpenMP) = 8.4725 s; p derived from k=2 = 0.9575
threads_k,run1_cold_s,run2_s,run3_s,avg_Tk_s,S_emp,S_theo,Delta
seq (collatz_seq),9.693,9.124,8.825,8.9745,,,
1,8.689,8.484,8.461,8.4725,1.0,1.0,0.0
2,4.243,4.373,4.46,4.4165,1.918,1.918,0.0
4,2.437,2.231,2.303,2.267,3.737,3.547,-0.19
8,1.296,1.27,1.343,1.3065,6.485,6.164,-0.321
12,1.309,0.991,0.994,0.9925,8.537,8.174,-0.362
16,0.968,0.902,0.872,0.887,9.552,9.767,0.215
"# note: sequential-baseline S_emp(2) = 2.032 gave p = 1.016 (>1, invalid, within noise)"

# TABLE 2: Experiment A false sharing. hits=15645999 for all variants.
threads,variant,run1_cold_s,run2_s,run3_s,avg_s,throughput_iter_per_s,penalty_ratio_vs_padded
8,V1_naive_hits_tid,1.15,0.974,1.043,1.0085,1.885e+07,1.026
8,V2_padded_struct,0.976,1.008,0.957,0.9825,1.935e+07,1.0
8,V2_reduction_extra,1.253,1.284,2.262,1.773,1.072e+07,1.805
12,V1_naive_hits_tid,0.831,0.79,0.811,0.8005,2.375e+07,1.085
12,V2_padded_struct,0.697,0.724,0.752,0.738,2.576e+07,1.0
12,V2_reduction_extra,0.955,1.005,1.005,1.005,1.891e+07,1.362
# note: 8-thread reduction run3 (2.262 s) looks like interference; unexplained

"# TABLE 3: Experiment B scheduling. max_steps=704, checksum=78178256 for all rows."
threads,schedule,run1_cold_s,run2_s,run3_s,avg_s,thread_busy_min_s,thread_busy_max_s,max_over_min
12,static_default,1.022,0.993,0.953,0.973,0.601,0.952,1.58
12,static_1000,0.954,1.01,1.043,1.0265,0.66,1.041,1.58
12,dynamic_100,0.899,0.939,0.915,0.927,0.915,0.915,1.0
12,dynamic_10000,0.895,0.924,0.857,0.8905,0.851,0.857,1.01
12,guided,0.874,0.882,0.876,0.879,0.837,0.876,1.05
8,static_default,2.64,2.553,2.992,2.7725,2.747,2.99,1.09
8,static_1000,3.188,2.951,2.303,2.627,2.221,2.303,1.04
8,dynamic_100,1.216,1.232,1.199,1.2155,1.199,1.199,1.0
8,dynamic_10000,1.152,1.086,1.166,1.126,1.161,1.166,1.0
8,guided,1.177,1.096,1.211,1.1535,1.21,1.21,1.0
# note: 8-thread block ran slow machine-wide (static 2.77 s vs ~1.0 s in Exp. A); 12-thread block used for analysis
